ID,Name,Slug,Parent,Description,Count,"Thumbnail URL"
376,"Gordie Howe (NHL)",gordie-howe-stanley-cup-championship-rings,29,"Own 1 or all 4 of Gordie Howe’s Stanley Cup Championship Rings with the Detroit Red Wings",5,https://youbethechamp.com.au/wp-content/uploads/2026/02/IMG_8523.jpeg
474,"Green Bay Packers",green-bay-packers-nfl-team,417,packers,6,
79,"Green Bay Packers (NFL)",green-bay-packers,23,"Green Bay Packers rings and other merchandise.

Founded in 1919 and based in Green Bay, Wisconsin, the Green Bay Packers are one of the NFL’s most storied franchises, with 4 Super Bowl titles and a league-record 13 total championships. Their 1962 team went 13-1, and legends like Bart Starr (SB I &amp; II MVP), Brett Favre, and Aaron Rodgers (4× MVP) defined eras of dominance. After a 29-year Super Bowl drought, they returned to glory in Super Bowl XLV (2010 season). In 2023, they made the playoffs again with rising QB Jordan Love—proof that Titletown’s legacy is far from finished.",6,
265,"Green Bay Pro Teams",green-bay-professional-sports-teams,82,"Championship rings from all the pro teams from NFL, NBA, MLB, NHL in Green Bay.",6,
399,"Hakeem Olajuwan (NBA)",hakeem-olajuwan-nba-finals-championship-rings,29,"Own 1 or both of Hakeem Olajuwan’s NBA Finals Championship Rings with the Houston Rockets",3,https://youbethechamp.com.au/wp-content/uploads/2026/02/IMG_8524.jpeg
384,"Hank Aaron (MLB)",hank-aaron-stanley-cup-championship-rings,29,"Own Hank Aaron’s World Series Championship Rings with the Milwaukee Braves",1,https://youbethechamp.com.au/wp-content/uploads/2026/02/IMG_8525.jpeg
374,"Henri Richard (NHL)",henri-richard-stanley-cup-championship-rings,29,"Own 1 or all 11 of Henri Richard's Stanley Cup Championship Rings with the Montreal Canadiens",12,https://youbethechamp.com.au/wp-content/uploads/2026/02/IMG_8526.jpeg
390,"Honus Wagner (MLB)",honus-wagner-world-series-championship-rings,29,"Own Honus Wagner's World Series Championship Rings with the Pittsburgh Pirates",2,https://youbethechamp.com.au/wp-content/uploads/2026/02/IMG_8527.jpeg
497,"Houston Astros",houston-astros-mlb-team,411,Astros,3,
84,"Houston Astros (MLB)",houston-astros,23,"Houston Astros rings and other merchandise",3,
178,"Houston Pro Teams",houston-professional-sports-teams,82,"Championship rings from all the pro teams from NFL, NBA, MLB, NHL in Houston.",8,
574,"Houston Rockets",houston-rockets-nba-team,429,Rockets,5,
85,"Houston Rockets (NBA)",houston-rockets,23,"Houston Rockets rings and other merchandise",5,
457,"Houston Texans",houston-texans-nfl-team,421,Houston,0,
86,"Houston Texans (NFL)",houston-texans,23,"Houston Texans rings and other merchandise",0,
410,"I want Them All",every-team-every-year-every-championship-ring,0,"BUY THEM ALL...!

Every Team. Every Year. Every Championship Ring. Every League.

NFL - NBA - MLB - NHL",5,
555,"Indiana Pacers",indiana-pacers-nba-team,425,Pacers,0,
87,"Indiana Pacers (NBA)",indiana-pacers,23,"Indiana Pacers rings and other merchandise",0,
456,"Indianapolis Colts",indianapolis-colts-nfl-team,421,Inidianapois,4,
88,"Indianapolis Colts (NFL)",indianapolis-colts,23,"Indianapolis Colts rings and other merchandise",3,
269,"Indianapolis Pro Teams",indianapolis-professional-sports-teams,82,"Championship rings from all the pro teams from NFL, NBA, MLB, NHL in Indianapolis.",3,
402,"Isiah Thomas (NBA)",isiah-thomas-nba-finals-championship-rings,29,"Own 1 or both of Isiah Thomas’s NBA Finals Championship Rings with the Detroit Pistons",3,https://youbethechamp.com.au/wp-content/uploads/2026/02/IMG_8528.jpeg
454,"Jacksonville Jaguars",jacksonsville-jaguars-nfl-team,421,Jacksonville,0,
89,"Jacksonville Jaguars (NFL)",jacksonville-jaguars,23,"Jacksonville Jaguars rings and other merchandise",0,
261,"Jacksonville Pro Teams",jacksonville-professional-sports-teams,82,"Championship rings from all the pro teams from NFL, NBA, MLB, NHL in Jacksonville.",0,
379,"Jean Beliveau (NHL)",jean-beliveua-stanley-cup-championship-rings,29,"Own 1 or all 10 of Jean Beliveau’s Stanley Cup Championship Rings with the Montreal Canadiens, 1 or all 7 of Jean Beliveau's Stanley Cup Championship Rings as an administrative executive of the Montreal Canadiens.

Of course, you could also own all 17 of Jean's Stanley Cup Rings.",11,https://youbethechamp.com.au/wp-content/uploads/2026/02/IMG_8530.jpeg
